channel_id,subject,n,median_views,median_vpd,channel_median,index_vs_channel
UC-08FfiuOa8Swp8NQX_lrRw,other,5,3354.0,19.270663802330372,2837.0,1.18
UC-08FfiuOa8Swp8NQX_lrRw,crypto,516,2835.5,14.69405014541059,2837.0,1.0
UC-luaBAGSqZ---25Wifnnhg,indicators,119,27677.0,126.39761832511799,22891.0,1.21
UC-luaBAGSqZ---25Wifnnhg,education,5,22484.0,58.6658044679461,22891.0,0.98
UC-luaBAGSqZ---25Wifnnhg,other,21,7505.0,37.05703776855858,22891.0,0.33
UC-luaBAGSqZ---25Wifnnhg,crypto,12,3320.5,4.808522933428741,22891.0,0.15
UC0ep2A36j7gTFdqW2Yvngbg,indicators,6,339126.0,1581.2040020188554,134455.5,2.52
UC0ep2A36j7gTFdqW2Yvngbg,education,13,240265.0,650.8909956436689,134455.5,1.79
UC0ep2A36j7gTFdqW2Yvngbg,news,9,131219.0,376.63475766511135,134455.5,0.98
UC0ep2A36j7gTFdqW2Yvngbg,other,20,121880.0,418.6368487703679,134455.5,0.91
UC14Fb2zWTEZklONPXFbLrTQ,macro,11,447765.0,2823.477874435315,846685.0,0.53
UC2y5U9wW2-Ny1nWS2jFPlzA,education,15,102304.0,115.80185704809088,64025.0,1.6
UC2y5U9wW2-Ny1nWS2jFPlzA,indicators,38,63665.0,76.51650340925777,64025.0,0.99
UC2y5U9wW2-Ny1nWS2jFPlzA,stocks,4,21134.0,45.13871803187618,64025.0,0.33
UC5kh_CumIL_usjg3pW5J9Qw,crypto,266,10394.0,87.50723230006577,8981.5,1.16
UC5kh_CumIL_usjg3pW5J9Qw,other,68,4902.0,37.10096044235698,8981.5,0.55
UC5kh_CumIL_usjg3pW5J9Qw,indicators,4,4369.0,33.881965711520635,8981.5,0.49
UC5kh_CumIL_usjg3pW5J9Qw,gold,15,4170.0,45.910094632769265,8981.5,0.46
UC5kh_CumIL_usjg3pW5J9Qw,stocks,18,4091.0,63.284431769703886,8981.5,0.46
UC5kh_CumIL_usjg3pW5J9Qw,macro,9,3795.0,38.64517083922892,8981.5,0.42
UC72h7j1uru3iopWJkaR958g,stocks,12,1817.5,14.105826411362422,1626.5,1.12
UC72h7j1uru3iopWJkaR958g,education,245,1584.0,25.8133139112903,1626.5,0.97
UC7AoMESkPXV_Bqr0I8dbzrw,gold,132,14216.0,53.52395973218192,14059.0,1.01
UC7sXGI8p8PvKosLWagkK9wQ,macro,6,186586.0,103.50981524752886,162551.5,1.15
UC7sXGI8p8PvKosLWagkK9wQ,other,51,155453.0,143.29741259932956,162551.5,0.96
UCASM0cgfkJxQ1ICmRilfHLw,stocks,11,1052704.0,6621.389620693613,693096.0,1.52
UCASM0cgfkJxQ1ICmRilfHLw,other,41,752328.0,2290.7401382501484,693096.0,1.09
UCASM0cgfkJxQ1ICmRilfHLw,crypto,5,680544.0,979.1435549795773,693096.0,0.98
UCASM0cgfkJxQ1ICmRilfHLw,education,10,680491.0,1376.0466986564848,693096.0,0.98
UCASM0cgfkJxQ1ICmRilfHLw,news,7,580756.0,1539.4493204601874,693096.0,0.84
UCASM0cgfkJxQ1ICmRilfHLw,macro,22,561414.0,1193.2619245454366,693096.0,0.81
UCAsdYT8gu1MS2pPr48ZLcvA,stocks,128,2321.0,9.886725582010463,2252.0,1.03
UCAsdYT8gu1MS2pPr48ZLcvA,gold,5,911.0,7.281343902798443,2252.0,0.4
UCBxm9WodPjj70GaiKTIRPGg,other,61,6733.0,13.922552047808122,5792.0,1.16
UCBxm9WodPjj70GaiKTIRPGg,crypto,473,5639.0,17.45598663763618,5792.0,0.97
UCBxm9WodPjj70GaiKTIRPGg,news,23,5101.0,14.92065935755127,5792.0,0.88
UCBxm9WodPjj70GaiKTIRPGg,education,4,1531.5,5.6048084732073615,5792.0,0.26
UCCAmVExQtgxzbIJJJoVA5Sw,other,5,60484.0,251.8913462865192,35557.5,1.7
UCCMkQlTXghwaB0hohPrEACA,stocks,17,13263.0,20.683570289724788,10905.0,1.22
UCCMkQlTXghwaB0hohPrEACA,other,104,10123.0,29.28285065643454,10905.0,0.93
UCCbv0qixG-cyokxEY3kELtg,education,9,225032.0,784.0284624683001,122116.0,1.84
UCCbv0qixG-cyokxEY3kELtg,indicators,11,135589.0,511.70663389420497,122116.0,1.11
UCCbv0qixG-cyokxEY3kELtg,stocks,6,85036.5,388.48157025433727,122116.0,0.7
UCD_hOUSXUXViTvIkbLasfdQ,macro,32,12530.0,36.70589131788073,10187.0,1.23
UCD_hOUSXUXViTvIkbLasfdQ,other,18,12027.5,40.21479255385772,10187.0,1.18
UCD_hOUSXUXViTvIkbLasfdQ,news,6,11643.0,65.7294407268675,10187.0,1.14
UCD_hOUSXUXViTvIkbLasfdQ,gold,489,10106.0,39.848706383916685,10187.0,0.99
UCDmJ0q0ggEZcOh5-3XUVYqQ,macro,17,2616.0,31.173128174210248,1583.0,1.65
UCDmJ0q0ggEZcOh5-3XUVYqQ,education,40,2400.0,36.26882054733801,1583.0,1.52
UCDmJ0q0ggEZcOh5-3XUVYqQ,other,23,1362.0,18.037277858598074,1583.0,0.86
UCDmJ0q0ggEZcOh5-3XUVYqQ,stocks,23,942.0,11.479784567535594,1583.0,0.6
UCEAAzv2OBqxsSczKJ2QZyGQ,gold,32,186683.0,1709.2775185051864,139995.0,1.33
UCEAAzv2OBqxsSczKJ2QZyGQ,stocks,99,154451.0,1101.70361210271,139995.0,1.1
UCEAAzv2OBqxsSczKJ2QZyGQ,other,32,135780.5,986.3819318128992,139995.0,0.97
UCEAAzv2OBqxsSczKJ2QZyGQ,crypto,24,118743.0,619.3732827869878,139995.0,0.85
UCEAAzv2OBqxsSczKJ2QZyGQ,indicators,7,103537.0,881.402137235069,139995.0,0.74
UCEAAzv2OBqxsSczKJ2QZyGQ,education,26,99465.5,723.1096428795036,139995.0,0.71
UCEIWHQnlNkt5oa1AOTdr8eA,stocks,369,2085.0,17.19443758628356,2075.0,1.0
UCF09Jbsxb7x6lJ5imkapHNA,crypto,22,15698.0,114.1529808030224,13770.0,1.14
UCF09Jbsxb7x6lJ5imkapHNA,other,4,13770.0,196.9446031128295,13770.0,1.0
UCFOry4O_FlI2HU5epQnDWPQ,other,45,43007.0,109.25734397668322,38947.5,1.1
UCFOry4O_FlI2HU5epQnDWPQ,education,21,36137.0,175.7167587358091,38947.5,0.93
UCFaJ8JgHaiXBmSzZEGvW5XA,education,6,16323.5,28.98653314775951,10960.5,1.49
UCFaJ8JgHaiXBmSzZEGvW5XA,indicators,4,11973.5,27.763839978031335,10960.5,1.09
UCFaJ8JgHaiXBmSzZEGvW5XA,other,27,11038.0,20.444280790418656,10960.5,1.01
UCFaJ8JgHaiXBmSzZEGvW5XA,stocks,22,9243.5,14.799849655117525,10960.5,0.84
UCHj7vxqgE8NSpuwjM19LAsg,other,54,14715.0,30.22363707065894,14270.5,1.03
UCIP3QFzSshFMYBSLtHAZvQA,crypto,130,11456.0,30.884074825025294,10882.0,1.05
UCIP3QFzSshFMYBSLtHAZvQA,stocks,5,2169.0,5.368588927097791,10882.0,0.2
UCL_v4tC26PvOFytV1_eEVSg,news,20,28760.5,125.4596294140373,24322.0,1.18
UCL_v4tC26PvOFytV1_eEVSg,crypto,16,26498.5,85.97507117430003,24322.0,1.09
UCL_v4tC26PvOFytV1_eEVSg,education,6,25660.5,56.18476578513345,24322.0,1.06
UCL_v4tC26PvOFytV1_eEVSg,stocks,15,25897.0,50.97363874490144,24322.0,1.06
UCL_v4tC26PvOFytV1_eEVSg,macro,15,24322.0,54.15575845540904,24322.0,1.0
UCL_v4tC26PvOFytV1_eEVSg,gold,8,24196.0,65.25634752062896,24322.0,0.99
UCL_v4tC26PvOFytV1_eEVSg,other,8,20015.0,59.16149841663705,24322.0,0.82
UCL_v4tC26PvOFytV1_eEVSg,indicators,5,15147.0,234.4413281123784,24322.0,0.62
UCLe_q9axMaeTbjN0hy1Z9xA,macro,6,1524650.5,11242.249850254617,1427716.0,1.07
UCLe_q9axMaeTbjN0hy1Z9xA,news,5,1433434.0,20125.546996454614,1427716.0,1.0
UCLe_q9axMaeTbjN0hy1Z9xA,other,41,1409897.0,13978.810527329959,1427716.0,0.99
UCNj1mz_ZzBs-8x28Jd_bCEA,stocks,58,6221.0,31.619821731709806,3678.0,1.69
UCNj1mz_ZzBs-8x28Jd_bCEA,education,5,832.0,1.7706591541790446,3678.0,0.23
UCNj1mz_ZzBs-8x28Jd_bCEA,other,7,654.0,1.530839053908335,3678.0,0.18
UCO3qWot3L3egKYit9x9uWGw,stocks,418,2858.5,7.689689817229851,2855.0,1.0
UCOHxDwCcOzBaLkeTazanwcw,stocks,116,154354.5,370.8371185209493,150511.0,1.03
UCOHxDwCcOzBaLkeTazanwcw,other,29,152457.0,833.3227050321009,150511.0,1.01
UCOHxDwCcOzBaLkeTazanwcw,macro,4,146331.5,708.4037400513444,150511.0,0.97
UCOHxDwCcOzBaLkeTazanwcw,gold,5,122790.0,971.6187543209526,150511.0,0.82
UCOHxDwCcOzBaLkeTazanwcw,crypto,8,95745.0,180.2149390519142,150511.0,0.64
UCP9RPj_BG0vit2TNM7LuRxA,stocks,4,1567645.0,4832.0950117771845,261306.0,6.0
UCP9RPj_BG0vit2TNM7LuRxA,other,6,334773.5,2320.72157297533,261306.0,1.28
UCP9RPj_BG0vit2TNM7LuRxA,education,11,261306.0,1602.9044875649158,261306.0,1.0
UCRCCAnVyzDTcqNYh0pDcq7Q,stocks,9,203913.0,513.5829153836363,176935.0,1.15
UCRCCAnVyzDTcqNYh0pDcq7Q,other,162,176902.0,720.521801280999,176935.0,1.0
UCRCCAnVyzDTcqNYh0pDcq7Q,crypto,20,165361.5,455.1407256845845,176935.0,0.93
UCRCCAnVyzDTcqNYh0pDcq7Q,education,5,131515.0,927.0176390906976,176935.0,0.74
UCRK5xmIi8kuLUduTE3Ti7lw,news,159,6325.0,136.93069370813353,5671.0,1.12
UCRK5xmIi8kuLUduTE3Ti7lw,macro,8,5609.0,140.59230549684617,5671.0,0.99
UCRK5xmIi8kuLUduTE3Ti7lw,gold,19,5339.0,118.90555341718989,5671.0,0.94
UCRK5xmIi8kuLUduTE3Ti7lw,stocks,153,5102.0,97.94703315003736,5671.0,0.9
UCZ4AMrDcNrfy3X6nsU8-rPg,macro,56,455033.0,1387.7656202158323,447264.0,1.02
UCZ4AMrDcNrfy3X6nsU8-rPg,stocks,9,423986.0,1819.091353855199,447264.0,0.95
UCZ4AMrDcNrfy3X6nsU8-rPg,education,5,409291.0,1523.4491779815212,447264.0,0.92
UCZmKFfiLAag4Cw612favrSg,gold,7,3504.0,12.93344789312803,2317.0,1.51
UCZmKFfiLAag4Cw612favrSg,stocks,79,2411.0,9.636735824157244,2317.0,1.04
UCZmKFfiLAag4Cw612favrSg,other,8,2172.5,4.780920657998613,2317.0,0.94
UCZmKFfiLAag4Cw612favrSg,education,7,1324.0,3.302084303185647,2317.0,0.57
UCZmKFfiLAag4Cw612favrSg,crypto,4,1045.5,3.392088868558444,2317.0,0.45
UC_4JcFVfzl5f5runRldZgtw,other,96,60902.5,162.73228281715276,56189.0,1.08
UC_4JcFVfzl5f5runRldZgtw,education,24,42250.0,126.84248376307269,56189.0,0.75
UCcsVDxIsL0pd6YOksxhEoHA,education,18,33288.5,25.740631199872723,26418.5,1.26
UCcsVDxIsL0pd6YOksxhEoHA,other,13,11089.0,8.288213464669058,26418.5,0.42
UCdhl39fG5MNa9NhHE6LDeKA,other,11,2551.0,9.546540120697273,1738.5,1.47
UCdhl39fG5MNa9NhHE6LDeKA,education,43,1697.0,4.594862714492971,1738.5,0.98
UCgOHoUCzElFju7HgkuHLzfw,indicators,9,187.0,0.503921058295127,102.0,1.83
UCgOHoUCzElFju7HgkuHLzfw,education,17,185.0,0.5462742029806866,102.0,1.81
UCgOHoUCzElFju7HgkuHLzfw,crypto,6,161.0,0.24530542780443199,102.0,1.58
UCgOHoUCzElFju7HgkuHLzfw,stocks,27,120.0,0.3153170920612433,102.0,1.18
UCgOHoUCzElFju7HgkuHLzfw,news,24,107.5,0.24142175097969554,102.0,1.05
UCgOHoUCzElFju7HgkuHLzfw,macro,42,95.0,0.32034283908841776,102.0,0.93
UCgOHoUCzElFju7HgkuHLzfw,gold,47,93.0,0.4779599193271661,102.0,0.91
UCgOHoUCzElFju7HgkuHLzfw,other,52,83.0,0.2526483527669179,102.0,0.81
UCgPEfLdSfqeteBIQjMgJFtA,education,115,4454.0,17.119951348760928,4155.0,1.07
UCgPEfLdSfqeteBIQjMgJFtA,macro,9,4448.0,24.19514466125529,4155.0,1.07
UCgPEfLdSfqeteBIQjMgJFtA,other,13,2636.0,18.036615966837125,4155.0,0.63
UCgPEfLdSfqeteBIQjMgJFtA,gold,15,2566.0,17.93676556446412,4155.0,0.62
UCgPEfLdSfqeteBIQjMgJFtA,news,5,1977.0,7.8747355829969985,4155.0,0.48
UChlTcWDE8gd4tsl_L727NrQ,crypto,85,126415.0,376.79387568981844,125383.0,1.01
UChlTcWDE8gd4tsl_L727NrQ,other,9,59617.0,338.0375475419556,125383.0,0.48
UCiQpvtOQk1Iz95h9xbIgHsw,education,91,5667.0,15.27061601379565,5125.0,1.11
UCiQpvtOQk1Iz95h9xbIgHsw,crypto,22,5626.5,14.120461678760488,5125.0,1.1
