channel_id,dow,n,median_views,median_vpd,channel_median,index_vs_channel
UC-08FfiuOa8Swp8NQX_lrRw,Sunday,29,3163.0,15.970568724178987,2837.0,1.11
UC-08FfiuOa8Swp8NQX_lrRw,Friday,92,3130.5,15.49207156714894,2837.0,1.1
UC-08FfiuOa8Swp8NQX_lrRw,Saturday,17,3069.0,18.71376044064036,2837.0,1.08
UC-08FfiuOa8Swp8NQX_lrRw,Monday,102,2719.5,14.089002583501284,2837.0,0.96
UC-08FfiuOa8Swp8NQX_lrRw,Tuesday,89,2726.0,14.343067942496258,2837.0,0.96
UC-08FfiuOa8Swp8NQX_lrRw,Wednesday,100,2737.0,13.273641054098766,2837.0,0.96
UC-08FfiuOa8Swp8NQX_lrRw,Thursday,94,2620.0,14.65675203193575,2837.0,0.92
UC-RKpEc4eE9PwJaupN91xYQ,Tuesday,4,140490.0,238.43688853925124,33778.5,4.16
UC-RKpEc4eE9PwJaupN91xYQ,Monday,21,32526.0,76.04522071403636,33778.5,0.96
UC-luaBAGSqZ---25Wifnnhg,Sunday,8,37628.0,113.42871501399296,22891.0,1.64
UC-luaBAGSqZ---25Wifnnhg,Monday,7,25093.0,113.23276128016005,22891.0,1.1
UC-luaBAGSqZ---25Wifnnhg,Friday,19,24066.0,117.942173722103,22891.0,1.05
UC-luaBAGSqZ---25Wifnnhg,Wednesday,36,22718.5,76.97001115736134,22891.0,0.99
UC-luaBAGSqZ---25Wifnnhg,Thursday,39,22147.0,66.6627425829478,22891.0,0.97
UC-luaBAGSqZ---25Wifnnhg,Tuesday,41,19779.0,111.66402606873986,22891.0,0.86
UC-luaBAGSqZ---25Wifnnhg,Saturday,7,14192.0,36.86921690110396,22891.0,0.62
UC0ep2A36j7gTFdqW2Yvngbg,Wednesday,17,163303.0,403.58877171235116,134455.5,1.21
UC0ep2A36j7gTFdqW2Yvngbg,Sunday,24,133382.0,621.9872412304546,134455.5,0.99
UC1KmNKYC1l0stjctkGswl6g,Tuesday,55,290951.0,883.8463509429555,288667.5,1.01
UC2y5U9wW2-Ny1nWS2jFPlzA,Friday,7,117506.0,114.47031796437574,64025.0,1.84
UC2y5U9wW2-Ny1nWS2jFPlzA,Wednesday,7,105310.0,80.9582695434635,64025.0,1.64
UC2y5U9wW2-Ny1nWS2jFPlzA,Sunday,11,72409.0,63.82933325698611,64025.0,1.13
UC2y5U9wW2-Ny1nWS2jFPlzA,Thursday,6,68847.0,70.05780323315972,64025.0,1.08
UC2y5U9wW2-Ny1nWS2jFPlzA,Tuesday,9,56800.0,80.8806800047213,64025.0,0.89
UC2y5U9wW2-Ny1nWS2jFPlzA,Saturday,14,56290.5,64.77825141196425,64025.0,0.88
UC2y5U9wW2-Ny1nWS2jFPlzA,Monday,5,51303.0,111.58672575466561,64025.0,0.8
UC5YKivGUTTQmhSuaXbxfZSg,Wednesday,35,14840.0,59.78051868616368,12846.5,1.16
UC5YKivGUTTQmhSuaXbxfZSg,Sunday,45,14556.0,59.383823005763126,12846.5,1.13
UC5YKivGUTTQmhSuaXbxfZSg,Monday,41,13303.0,55.04585329450006,12846.5,1.04
UC5YKivGUTTQmhSuaXbxfZSg,Tuesday,48,12359.0,48.99585178033581,12846.5,0.96
UC5YKivGUTTQmhSuaXbxfZSg,Thursday,44,12008.0,55.12475075081687,12846.5,0.93
UC5YKivGUTTQmhSuaXbxfZSg,Friday,48,11296.0,53.631174274294054,12846.5,0.88
UC5YKivGUTTQmhSuaXbxfZSg,Saturday,43,10578.0,50.91370292839068,12846.5,0.82
UC5kh_CumIL_usjg3pW5J9Qw,Saturday,25,12458.0,96.45274161113385,8981.5,1.39
UC5kh_CumIL_usjg3pW5J9Qw,Sunday,13,10120.0,66.91241118488654,8981.5,1.13
UC5kh_CumIL_usjg3pW5J9Qw,Monday,70,9035.0,73.02121129529492,8981.5,1.01
UC5kh_CumIL_usjg3pW5J9Qw,Friday,69,8874.0,77.64558351053833,8981.5,0.99
UC5kh_CumIL_usjg3pW5J9Qw,Tuesday,66,8908.0,72.21774835817031,8981.5,0.99
UC5kh_CumIL_usjg3pW5J9Qw,Wednesday,66,8681.5,77.66497692807417,8981.5,0.97
UC5kh_CumIL_usjg3pW5J9Qw,Thursday,71,8038.0,75.36088272879624,8981.5,0.89
UC72h7j1uru3iopWJkaR958g,Sunday,19,4338.0,64.30075651507094,1626.5,2.67
UC72h7j1uru3iopWJkaR958g,Monday,48,1840.5,24.662946287813604,1626.5,1.13
UC72h7j1uru3iopWJkaR958g,Friday,41,1611.0,27.150168804043656,1626.5,0.99
UC72h7j1uru3iopWJkaR958g,Wednesday,49,1616.0,23.001115100163645,1626.5,0.99
UC72h7j1uru3iopWJkaR958g,Tuesday,45,1530.0,24.13971692574874,1626.5,0.94
UC72h7j1uru3iopWJkaR958g,Thursday,52,1495.5,22.928408024570594,1626.5,0.92
UC72h7j1uru3iopWJkaR958g,Saturday,6,1398.5,14.67537808914965,1626.5,0.86
UC7AoMESkPXV_Bqr0I8dbzrw,Wednesday,23,18556.0,59.46562010215324,14059.0,1.32
UC7AoMESkPXV_Bqr0I8dbzrw,Saturday,25,16005.0,41.649369636366316,14059.0,1.14
UC7AoMESkPXV_Bqr0I8dbzrw,Sunday,16,15360.0,44.31077228833759,14059.0,1.09
UC7AoMESkPXV_Bqr0I8dbzrw,Tuesday,19,13810.0,46.79492243265037,14059.0,0.98
UC7AoMESkPXV_Bqr0I8dbzrw,Monday,23,12857.0,62.96791744552322,14059.0,0.91
