channel_id,title,handle,url,bucket,country,subscriber_count,total_views,public_video_count,videos_collected,videos_mature,first_seen,last_upload,days_since_last_upload,uploads_per_week,uploads_per_month,median_views_all_mature,mean_views_all_mature,median_views_last10,median_views_last30,median_vpd,views_per_sub,n_longform,n_shorts,median_views_longform,median_views_shorts,median_duration_sec_longform,pct_outperform_2x,top10pct_view_share,gini_views,median_engagement_rate,likes_hidden_pct
UCASM0cgfkJxQ1ICmRilfHLw,Patrick Boyle,@pboyle,https://www.youtube.com/@pboyle,C,US,1330000,193838769,479,105,100,2024-09-12,2026-09-05,2,1.02,4.43,693096.0,858386.57,1340846.5,1245296.0,1581.2949295434041,0.5211,100,0,693096.0,,1694.0,0.13,0.253,0.335,0.0324,0.0
UCkCGANrihzExmu9QiqZpPlQ,How Money Works,@howmoneyworks,https://www.youtube.com/@howmoneyworks,D,US,1740000,292286828,323,102,98,2024-09-12,2026-08-27,11,1.0,4.35,930716.0,1093447.857142857,721457.5,753622.5,3242.1343227691887,0.5349,98,0,930716.0,,853.0,0.082,0.212,0.301,0.0263,0.0
UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,@calebhammer,https://www.youtube.com/@calebhammer,D,US,3710000,4363220813,4786,600,502,2026-03-13,2026-09-06,1,23.73,103.19,1427716.0,1633555.5535714286,258029.5,638835.5,14499.721198938065,0.3848,56,446,1427716.0,1085812.0,5725.5,0.036,0.18,0.193,0.0155,0.0
UCUPrbbdnot-aPgNM65svgOg,Blunt Brothers Productions,@bluntbrothersproductions,https://www.youtube.com/@bluntbrothersproductions,W,US,1580000,511690147,355,145,132,2024-09-14,2026-09-05,2,1.41,6.12,598891.0,849992.3333333334,361095.0,478458.5,1527.5939181133817,0.379,33,99,598891.0,837476.0,543.5,0.242,0.308,0.502,0.0364,0.0
UCZ4AMrDcNrfy3X6nsU8-rPg,Economics Explained,@economicsexplained,https://www.youtube.com/@economicsexplained,F,US,2880000,372345967,446,83,78,2024-09-10,2026-09-06,1,0.8,3.48,447264.0,613369.2266666667,468770.5,406204.0,1427.397539283421,0.1553,75,3,447264.0,33390.0,946.0,0.16,0.283,0.359,0.027,0.0
UC14Fb2zWTEZklONPXFbLrTQ,Primate Economics,@primateeconomics,https://www.youtube.com/@primateeconomics,D,AU,574000,31679520,28,28,27,2025-03-28,2026-08-21,17,0.38,1.67,846685.0,752360.9230769231,273970.5,366282.0,2603.200581643637,1.4751,13,14,846685.0,153173.0,562.0,0.0,0.158,0.357,0.0496,0.0
UCUHW94eEFW7hkUMVaZz4eDg,minutephysics,@minutephysics,https://www.youtube.com/@minutephysics,W,,5980000,593207770,316,60,58,2021-08-18,2026-08-19,19,0.23,1.0,606461.0,1103605.5454545454,361519.0,361519.0,1158.6847603590036,0.1014,44,14,606461.0,227529.5,311.0,0.273,0.411,0.539,0.0466,0.0
UCpExuV8qJMfCaSQNL1YG6bQ,Better Than Yesterday,@betterthanyesterday,https://www.youtube.com/@betterthanyesterday,W,CA,2630000,108913384,105,60,60,2018-12-26,2026-03-12,179,0.16,0.69,334294.0,1257990.4,59608.5,306726.5,164.60338338385793,0.1271,60,0,334294.0,,546.5,0.267,0.668,0.751,0.0461,0.0
UCP9RPj_BG0vit2TNM7LuRxA,Crayon Capital,@crayon_capital,https://www.youtube.com/@crayon_capital,D,,253000,18477547,29,29,27,2025-04-22,2026-08-22,16,0.42,1.81,261306.0,677188.925925926,124811.0,246457.0,1740.0735383978374,1.0328,27,0,261306.0,,806.0,0.296,0.381,0.617,0.0263,0.0
UC1KmNKYC1l0stjctkGswl6g,After Skool,@afterskool,https://www.youtube.com/@afterskool,W,,3780000,284855349,251,60,58,2024-02-20,2026-09-01,6,0.45,1.98,288667.5,533200.3793103448,252754.0,239035.0,881.347198787337,0.0764,58,0,288667.5,,805.5,0.293,0.343,0.501,0.0456,0.0
UCOHxDwCcOzBaLkeTazanwcw,Bravos Research,@bravosresearch,https://www.youtube.com/@bravosresearch,C,AE,641000,86453596,921,277,269,2024-09-07,2026-09-05,2,2.66,11.58,150511.0,247712.38414634147,272189.0,171941.0,388.28565326112385,0.2348,164,105,150511.0,7809.0,454.0,0.146,0.408,0.451,0.0275,0.0
