channel_id,is_short,n,median_views,median_engagement
UC-08FfiuOa8Swp8NQX_lrRw,False,523,2837.0,0.07362752090804423
UC-08FfiuOa8Swp8NQX_lrRw,True,30,6868.5,0.015353059708273425
UC-RKpEc4eE9PwJaupN91xYQ,False,28,33778.5,0.03638763904812676
UC-RKpEc4eE9PwJaupN91xYQ,True,32,11403.5,0.04432416763244622
UC-luaBAGSqZ---25Wifnnhg,False,157,22891.0,0.026294741051789642
UC-luaBAGSqZ---25Wifnnhg,True,177,29617.0,0.03025420694593627
UC0ep2A36j7gTFdqW2Yvngbg,False,48,134455.5,0.04099867936429888
UC0ep2A36j7gTFdqW2Yvngbg,True,550,41028.5,0.04071127835288445
UC14Fb2zWTEZklONPXFbLrTQ,False,13,846685.0,0.049619420034802644
UC14Fb2zWTEZklONPXFbLrTQ,True,14,153173.0,0.05026640729962763
UC1KmNKYC1l0stjctkGswl6g,False,58,288667.5,0.045581419744620724
UC2y5U9wW2-Ny1nWS2jFPlzA,False,59,64025.0,0.04061322654787574
UC2y5U9wW2-Ny1nWS2jFPlzA,True,1,71169.0,0.0020655060489820007
UC5YKivGUTTQmhSuaXbxfZSg,False,304,12846.5,0.034527939665548416
UC5YKivGUTTQmhSuaXbxfZSg,True,115,19819.0,0.02859113300492611
UC5kh_CumIL_usjg3pW5J9Qw,False,380,8981.5,0.0789997401983911
UC5kh_CumIL_usjg3pW5J9Qw,True,128,6877.5,0.035444266793961544
UC72h7j1uru3iopWJkaR958g,False,260,1626.5,0.07917498336660013
UC72h7j1uru3iopWJkaR958g,True,188,11930.0,0.02892729493832681
UC7AoMESkPXV_Bqr0I8dbzrw,False,139,14059.0,0.06780785562632696
UC7AoMESkPXV_Bqr0I8dbzrw,True,195,11102.0,0.03679197465567581
UC7sXGI8p8PvKosLWagkK9wQ,False,60,162551.5,0.042864289302725435
UCASM0cgfkJxQ1ICmRilfHLw,False,100,693096.0,0.03237439436835053
UCAsdYT8gu1MS2pPr48ZLcvA,False,134,2252.0,0.051771698080370354
UCAsdYT8gu1MS2pPr48ZLcvA,True,20,3698.0,0.02390715079359882
UCBIt1VN5j37PVM8LLSuTTlw,False,59,25457.0,0.04131054131054131
UCBxm9WodPjj70GaiKTIRPGg,False,565,5792.0,0.11312584573748309
UCBxm9WodPjj70GaiKTIRPGg,True,5,4196.0,0.10295519542421354
UCC552Sd-3nyi_tk2BudLUzA,False,25,421010.0,0.03884902590630345
UCC552Sd-3nyi_tk2BudLUzA,True,49,71801.0,0.039409996090010654
UCCAmVExQtgxzbIJJJoVA5Sw,False,8,35557.5,0.061314704521481994
UCCAmVExQtgxzbIJJJoVA5Sw,True,48,42104.0,0.04828372021206289
UCCMkQlTXghwaB0hohPrEACA,False,129,10905.0,0.028998115122517036
UCCbv0qixG-cyokxEY3kELtg,False,29,122116.0,0.039873528895134375
UCCbv0qixG-cyokxEY3kELtg,True,37,324248.0,0.04484881808116924
UCD_hOUSXUXViTvIkbLasfdQ,False,549,10187.0,0.06467434698300445
UCD_hOUSXUXViTvIkbLasfdQ,True,18,5649.5,0.0284123733065921
UCDmJ0q0ggEZcOh5-3XUVYqQ,False,109,1583.0,0.03924418604651163
UCE2GdTW2WVCHZnqHF5otvgQ,False,23,182262.0,0.011667125052473111
UCE2GdTW2WVCHZnqHF5otvgQ,True,21,14077.0,0.01987694846198715
UCEAAzv2OBqxsSczKJ2QZyGQ,False,222,139995.0,0.03220429787487351
UCEAAzv2OBqxsSczKJ2QZyGQ,True,299,242341.0,0.0450216313844086
UCEIWHQnlNkt5oa1AOTdr8eA,False,372,2069.5,0.034129722402991225
UCEIWHQnlNkt5oa1AOTdr8eA,True,8,329.5,0.04494213342067911
UCF09Jbsxb7x6lJ5imkapHNA,False,30,13770.0,0.0384927352006263
UCF09Jbsxb7x6lJ5imkapHNA,True,477,3776.0,0.016686069072564997
UCFOry4O_FlI2HU5epQnDWPQ,False,66,38947.5,0.06109029082386988
UCFOry4O_FlI2HU5epQnDWPQ,True,38,15556.5,0.0665552998550143
UCFaJ8JgHaiXBmSzZEGvW5XA,False,60,10960.5,0.023145974674639514
UCHj7vxqgE8NSpuwjM19LAsg,False,60,14270.5,0.030928295529195855
UCIP3QFzSshFMYBSLtHAZvQA,False,142,10882.0,0.059014491946020306
UCIP3QFzSshFMYBSLtHAZvQA,True,194,2688.0,0.03475766661313265
UCL_v4tC26PvOFytV1_eEVSg,False,93,24323.0,0.047619047619047616
UCL_v4tC26PvOFytV1_eEVSg,True,18,5064.0,0.037744810705938756
UCLe_q9axMaeTbjN0hy1Z9xA,False,56,1427716.0,0.015508210311040702
UCLe_q9axMaeTbjN0hy1Z9xA,True,446,1085812.0,0.02532504934616569
UCNj1mz_ZzBs-8x28Jd_bCEA,False,76,3678.0,0.027004982052316894
UCO3qWot3L3egKYit9x9uWGw,False,420,2855.0,0.07896293627492632
UCO3qWot3L3egKYit9x9uWGw,True,84,3231.5,0.04462695117953138
UCOHxDwCcOzBaLkeTazanwcw,False,164,150511.0,0.027452114627990895
UCOHxDwCcOzBaLkeTazanwcw,True,105,7809.0,0.03629389200354087
UCP9RPj_BG0vit2TNM7LuRxA,False,27,261306.0,0.026275471912962013
UCPNoCO-IKY1PIQZCUqf4OfA,False,100,7919.5,0.029825633078332622
UCPNoCO-IKY1PIQZCUqf4OfA,True,34,8083.5,0.014058195863761948
UCRCCAnVyzDTcqNYh0pDcq7Q,False,202,178058.5,0.024697128580543418
UCRCCAnVyzDTcqNYh0pDcq7Q,True,370,31335.0,0.015193109604000343
UCRI6t05DNVlV0XhdI7hx_iw,False,59,14301.0,0.02104882926809715
UCRI6t05DNVlV0XhdI7hx_iw,True,1,35521.0,0.0326285859069283
UCRK5xmIi8kuLUduTE3Ti7lw,False,343,5671.0,0.046742913973147684
UCUHW94eEFW7hkUMVaZz4eDg,False,44,606461.0,0.04662778723377656
UCUHW94eEFW7hkUMVaZz4eDg,True,14,227529.5,0.023945365671995456
UCUPrbbdnot-aPgNM65svgOg,False,33,598891.0,0.036441302095781836
UCUPrbbdnot-aPgNM65svgOg,True,99,837476.0,0.0374131384518194
UCXLesGEfmyhxqOjoAqhRwhA,False,50,236664.0,0.038579332893574896
UCXLesGEfmyhxqOjoAqhRwhA,True,10,241004.0,0.04162800367201935
UCZ4AMrDcNrfy3X6nsU8-rPg,False,75,447264.0,0.02701580528984011
UCZ4AMrDcNrfy3X6nsU8-rPg,True,3,33390.0,0.0237797706556895
UCZmKFfiLAag4Cw612favrSg,False,110,2317.0,0.03543869677050586
UCZmKFfiLAag4Cw612favrSg,True,295,1189.0,0.016771488469601678
UC_4JcFVfzl5f5runRldZgtw,False,122,56189.0,0.0663850171629351
UC_4JcFVfzl5f5runRldZgtw,True,126,20926.0,0.0652878471983249
UCa3MpL0UCLuc08oj5kIATUg,False,8,77786.5,0.020334174975779613
UCa3MpL0UCLuc08oj5kIATUg,True,52,38834.0,0.017233048800128846
UCayjG0TS9IvWgWOiJSjukTw,False,2,48441.0,0.05369483786307397
UCayjG0TS9IvWgWOiJSjukTw,True,58,171022.5,0.07053405720021667
UCcsVDxIsL0pd6YOksxhEoHA,False,32,26418.5,0.024948097183318113
UCcsVDxIsL0pd6YOksxhEoHA,True,14,10709.5,0.028859504817369992
UCdL0Zdq18Wrtx5yRLFgiwDA,False,162,1077.0,0.06446540880503145
UCdL0Zdq18Wrtx5yRLFgiwDA,True,174,2651.5,0.07974532571388354
UCdhl39fG5MNa9NhHE6LDeKA,False,54,1738.5,0.014848657909765849
UCdhl39fG5MNa9NhHE6LDeKA,True,108,1368.5,0.021436490529013055
UCeLe9gr7c9CsAtFusECY18g,False,59,53603.0,0.05289914658810274
UCfhbydY40P2Lli9HuBz8cdA,False,158,140995.5,0.0405562998839914
UCfhbydY40P2Lli9HuBz8cdA,True,104,19127.5,0.05544626360742719
UCgOHoUCzElFju7HgkuHLzfw,False,224,102.0,0.04511533242876527
UCgOHoUCzElFju7HgkuHLzfw,True,217,485.0,0.008298755186721992
UCgPEfLdSfqeteBIQjMgJFtA,False,161,4128.0,0.05780436480388754
UCgPEfLdSfqeteBIQjMgJFtA,True,384,2120.5,0.03296909160528494
UChlTcWDE8gd4tsl_L727NrQ,False,95,125383.0,0.04812149460906087
UChlTcWDE8gd4tsl_L727NrQ,True,74,59441.0,0.027861020421840743
UCiQpvtOQk1Iz95h9xbIgHsw,False,191,5125.0,0.055269260499871166
UCiQpvtOQk1Iz95h9xbIgHsw,True,137,6544.0,0.049749719072428235
UCjKvFMbYVKOnBDarCtXfEww,False,98,73794.5,0.024456774162052594
UCjKvFMbYVKOnBDarCtXfEww,True,453,6919.0,0.02427071178529755
UCjxK94XQv29_nNirjMoR7bg,False,541,5122.0,0.04175388344166575
UCjxK94XQv29_nNirjMoR7bg,True,24,2087.5,0.016716343324846904
UCkCGANrihzExmu9QiqZpPlQ,False,98,930716.0,0.02631633690749211
UCly58gB7268VKzsH4zlMMvQ,False,49,96392.0,0.026291763058356732
UCly58gB7268VKzsH4zlMMvQ,True,9,17133.0,0.044462463876951255
