channel,visual_style,face_on_camera,style_confidence,coding_method,coded_on
After Skool,"hand-drawn marker on white, single continuous draw",no,high,analyst_prior_knowledge,2026-09-08
Sprouts,"whiteboard cut-out doodle, education",no,high,analyst_prior_knowledge,2026-09-08
Whiteboard Crypto,"whiteboard drawing with characters",no,high,analyst_prior_knowledge,2026-09-08
minutephysics,"marker line drawing on white, hand visible",no,high,analyst_prior_knowledge,2026-09-08
AsapSCIENCE,"whiteboard marker drawing, hand visible",no,high,analyst_prior_knowledge,2026-09-08
FightMediocrity,"whiteboard doodle, book summaries",no,high,analyst_prior_knowledge,2026-09-08
Improvement Pill,"stick-figure doodle animation",no,high,analyst_prior_knowledge,2026-09-08
Better Than Yesterday,"simple doodle/2D animation",no,high,analyst_prior_knowledge,2026-09-08
The Art of Improvement,"whiteboard doodle",no,medium,analyst_prior_knowledge,2026-09-08
Marko - WhiteBoard Finance,"presenter on camera despite the name",yes,high,analyst_prior_knowledge,2026-09-08
Einzelgänger,"stock art + motion, NOT whiteboard",no,medium,analyst_prior_knowledge,2026-09-08
SeeKen,"2D animated book summaries",no,medium,analyst_prior_knowledge,2026-09-08
GREAT IDEAS GREAT LIFE,"2D animated book summaries",no,medium,analyst_prior_knowledge,2026-09-08
Draw The Life TikTak,"draw-my-life hand-drawn storytelling",no,high,analyst_prior_knowledge,2026-09-08
Proactive Thinker,"doodle/whiteboard style",no,medium,analyst_prior_knowledge,2026-09-08
theflippist,"flipbook hand-drawn",no,medium,analyst_prior_knowledge,2026-09-08
Blunt Brothers Productions,unverified,unverified,low,NOT_VERIFIED,2026-09-08
Rishi Draws,unverified,unverified,low,NOT_VERIFIED,2026-09-08
One Percent Better,unverified,unverified,low,NOT_VERIFIED,2026-09-08
Siebert Science,unverified,unverified,low,NOT_VERIFIED,2026-09-08
Sticko Explains,"stick-figure doodle",no,low,NOT_VERIFIED,2026-09-08
HealthSketch,"whiteboard medical sketch",no,medium,analyst_prior_knowledge,2026-09-08
Wealthboard,unverified,unverified,low,NOT_VERIFIED,2026-09-08
ToonStarterz Doodles,unverified,unverified,low,NOT_VERIFIED,2026-09-08
