id,title,handle,country,subs,videos,views,avg_per_video,desc_snippet
UCsooa4yRKGN_zEE8iknghZA,TED-Ed,@teded,US,22900000,2375,4693443075,1976186.5578947368,TED-Ed’s mission is to create lessons worth sharing. Feed and expand your curiosity with our award-winning animated shorts - publi
UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,@veritasium,US,21200000,532,4524513948,8504725.466165414,"An element of truth - videos about science, education, and anything else we find interesting."
UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,@asapscience,,10800000,559,2074038244,3710265.1949910554,Making science make sense.  Created by:  Mitchell Moffit (@mitchellmoffit) Gregory Brown (@whalewatchmeplz)  CONTACT asapscience[a
UC7IcJI8PUf5Z3zKxnZvTBog,The School of Life,@theschooloflifetv,,9780000,1239,1001737305,808504.6852300242,"Self-understanding, calm and emotional maturity.  All our content is available on our app and website: www.theschooloflife.com  We"
UCvQECJukTDE2i6aCoMnS-Vg,Big Think,@bigthink,US,8950000,10175,1077203321,105867.64825552826,"Big Think exists to make you smarter, faster. Through conversations with the world’s brightest thinkers, we bring you the ideas sh"
UCU_W0oE_ock8bWKjALiGs8Q,Charisma on Command,@charismaoncommand,US,7110000,445,834798648,1875952.017977528,"Want to be more charismatic and confident?  We make videos to help you learn how to be more confident, how to make people laugh, h"
UC2C_jShtL725hvbm1arSV9w,CGP Grey,@cgpgrey,GB,7040000,195,1276883456,6548120.287179487,
UCKZozRVHRYsYHGEyNKuhhdA,Think School,@thinkschool,IN,6530000,1031,639049713,619834.833171678,"The Indian education system is broken  built to produce workers, not thinkers. At Think School, we’re on a mission to change that."
UCUHW94eEFW7hkUMVaZz4eDg,minutephysics,@minutephysics,,5980000,316,593207770,1877239.7784810127,"Simply put: cool physics and other sweet science.  ""If you can't explain it simply, you don't understand it well enough."" ~Rutherf"
UCBIt1VN5j37PVM8LLSuTTlw,Improvement Pill,@improvementpill,US,3770000,356,227869210,640082.0505617978,Taken like a multi-vitamin...but for your mind.  Improvement Pill is dedicated towards conveying important ideas to those who are 
UCpExuV8qJMfCaSQNL1YG6bQ,Better Than Yesterday,@betterthanyesterday,CA,2630000,105,108913384,1037270.3238095238,Welcome to my channel.  I’m someone who has always loved reading great books and exploring new ideas. This is a place where I shar
UCybBViio_TH_uiFFDJuz5tg,Einzelgänger,@einzelganger,NL,2390000,349,252616969,723830.8567335244,Video essays exploring philosophy and modern life  ***  Email: info(@)einzelganger.co  Einzelgänger is under the supervision of th
UC-RKpEc4eE9PwJaupN91xYQ,Sprouts,@sprouts,US,1940000,230,171736775,746681.6304347826,We create cartoons that explain complicated ideas in simple language.   Join us as a Youtube member for special perks: https://www
UCXLesGEfmyhxqOjoAqhRwhA,FightMediocrity,@fightmediocrity,US,1850000,168,123298273,733918.2916666666,FightMediocrity creates book summaries and works with the best authors and thinkers of our time.  We have created short films feat
UC5YKivGUTTQmhSuaXbxfZSg,Proactive Thinker,@proactivethinker,US,1160000,868,86582421,99749.33294930875,Helping you to become financially independent. 
UCtYzVCmNxrshH4_bPO_-Y-A,The Art of Improvement,@theartofimprovement,GB,1100000,372,66867285,179750.76612903227,"Premium self-improvement content on psychology, productivity, and mindset. The Art of Improvement helps you build discipline, shar"
UCuE330Te9fCVJB8FuMvM4CQ,Science Time,@sciencetime,US,16500,15,1930258,128683.86666666667,En Science Time encontrarás tutoriales detallados y explicaciones sencillas sobre una amplia gama de temas científicos y tecnológi
UCojW9HkenDUSAIjWV_qkRWA,Escaping Ordinary,@escapingordinary,AU,11200,19,1117004,58789.68421052631,Instagram: @escapingordinary_
UC2r_9AIg5HIg3iWl5zxQXhg,Behind the Science,@behindthescience,,3270,97,1272069,13114.113402061856,"Hosted by Jennifer Fournier and Waters Corporation, our video series takes you behind the science as she interviews analytical sci"
UCpm8KDblMPiJLEQUIG7pYCw,A World of Difference Podcast,@aworldofdifference,US,276,353,33189,94.01983002832861,"In a world that pressures us to conform, A World of Difference is a space where authenticity, courage, and leadership take center "
UCwEjCnYnJGe9ecdcEhTxaWg,practicalpsychology,@practicalpsychology,,26,1,359,359.0,
UCGEM32N9becsyucTTF2dYmA,MitchManly,@mitchmanly,,17,10,3730,373.0,
UCyB5ssrOlHaXMMCh3KeGUIw,Aperture,@aperture,,16,2,711,355.5,
