channel,handle,subs,total_videos,in_24mo,up_per_mo,med_views,med_dur_min,dur_p25,dur_p75,views_per_sub,shorts_share,days_since,country,visual_style,face_on_camera,style_confidence,coding_method,coded_on,status
AsapSCIENCE,@asapscience,10800000,559,74,3.08,421010.0,7.4,6.0,9.1,0.039,0.66,40,,"whiteboard marker drawing, hand visible",no,high,analyst_prior_knowledge,2026-09-08,active
GREAT IDEAS GREAT LIFE,@greatideasgreatlifeindia,7160000,726,161,6.71,188685.0,12.3,11.1,14.0,0.026,0.43,2,IN,2D animated book summaries,no,medium,analyst_prior_knowledge,2026-09-08,active
minutephysics,@minutephysics,5980000,316,36,1.5,606461.0,5.2,4.1,6.7,0.101,0.24,19,,"marker line drawing on white, hand visible",no,high,analyst_prior_knowledge,2026-09-08,active
SeeKen,@seeken,4570000,830,266,11.08,140995.5,22.2,16.2,33.1,0.031,0.4,2,IN,2D animated book summaries,no,medium,analyst_prior_knowledge,2026-09-08,active
After Skool,@afterskool,3780000,251,45,1.88,288667.5,13.4,10.8,17.6,0.076,0.0,6,,"hand-drawn marker on white, single continuous draw",no,high,analyst_prior_knowledge,2026-09-08,active
Improvement Pill,@improvementpill,3770000,356,31,1.29,25457.0,8.1,7.4,8.8,0.007,0.0,7,US,stick-figure doodle animation,no,high,analyst_prior_knowledge,2026-09-08,active
Better Than Yesterday,@betterthanyesterday,2630000,105,6,0.25,334294.0,9.1,7.5,11.6,0.127,0.0,179,CA,simple doodle/2D animation,no,high,analyst_prior_knowledge,2026-09-08,slowing
Einzelgänger,@einzelganger,2390000,349,59,2.46,139176.0,17.8,15.3,23.3,0.058,0.22,3,NL,"stock art + motion, NOT whiteboard",no,medium,analyst_prior_knowledge,2026-09-08,active
Sprouts,@sprouts,1940000,230,48,2.0,33778.5,4.5,4.1,5.4,0.017,0.53,49,US,"whiteboard cut-out doodle, education",no,high,analyst_prior_knowledge,2026-09-08,active
FightMediocrity,@fightmediocrity,1850000,168,0,0.0,236664.0,11.2,9.7,13.5,0.128,0.17,1413,US,"whiteboard doodle, book summaries",no,high,analyst_prior_knowledge,2026-09-08,DORMANT
Blunt Brothers Productions,@bluntbrothersproductions,1580000,355,145,6.04,598891.0,9.1,5.2,15.3,0.379,0.75,2,US,unverified,unverified,low,NOT_VERIFIED,2026-09-08,active
Draw The Life TikTak,@drawthelifetiktak,1450000,1167,136,5.67,7919.5,5.2,4.1,14.4,0.005,0.25,9,ES,draw-my-life hand-drawn storytelling,no,high,analyst_prior_knowledge,2026-09-08,active
Proactive Thinker,@proactivethinker,1160000,868,519,21.62,12846.5,15.8,13.1,19.5,0.011,0.27,0,US,doodle/whiteboard style,no,medium,analyst_prior_knowledge,2026-09-08,active
Rishi Draws,@rishidraws,1100000,190,7,0.29,48441.0,8.0,7.4,8.5,0.044,0.97,297,US,unverified,unverified,low,NOT_VERIFIED,2026-09-08,DORMANT
The Art of Improvement,@theartofimprovement,1100000,372,54,2.25,13283.5,9.8,9.2,10.6,0.012,0.0,8,GB,whiteboard doodle,no,medium,analyst_prior_knowledge,2026-09-08,active
Marko - WhiteBoard Finance,@whiteboardfinance,1030000,425,112,4.67,24323.0,14.6,11.4,18.1,0.024,0.16,21,US,presenter on camera despite the name,yes,high,analyst_prior_knowledge,2026-09-08,active
Whiteboard Crypto,@whiteboardcrypto,1020000,152,11,0.46,87595.0,10.7,9.5,12.7,0.086,0.03,476,US,whiteboard drawing with characters,no,high,analyst_prior_knowledge,2026-09-08,DORMANT
theflippist,@theflippist,995000,311,13,0.54,77786.5,3.6,3.2,4.0,0.078,0.87,88,,flipbook hand-drawn,no,medium,analyst_prior_knowledge,2026-09-08,slowing
One Percent Better,@onepercentbetter,713000,150,0,0.0,14301.0,18.6,9.6,61.4,0.02,0.02,1081,AU,unverified,unverified,low,NOT_VERIFIED,2026-09-08,DORMANT
Siebert Science,@siebertscience,481000,163,26,1.08,96392.0,18.0,13.5,22.6,0.2,0.16,0,US,unverified,unverified,low,NOT_VERIFIED,2026-09-08,active
Sticko Explains,@stickoexplains,130000,125,128,5.33,23888.0,12.4,11.4,13.4,0.184,0.0,1,US,stick-figure doodle,no,low,NOT_VERIFIED,2026-09-08,active
HealthSketch,@healthsketch,128000,44,3,0.12,182262.0,4.9,4.2,5.2,1.424,0.48,678,GB,whiteboard medical sketch,no,medium,analyst_prior_knowledge,2026-09-08,DORMANT
Wealthboard,@wealthxboard,106000,339,339,14.12,1077.0,60.6,34.6,90.4,0.01,0.52,14,,unverified,unverified,low,NOT_VERIFIED,2026-09-08,active
ToonStarterz Doodles,@toonstarterzdoodles,79200,96,19,0.79,53603.0,12.3,9.2,14.4,0.677,0.0,9,US,unverified,unverified,low,NOT_VERIFIED,2026-09-08,active
